dataset,shard_index,shard_count,d,lambda_ratio,lambda_star,lambda,log2N,N,alpha,evaluation_resolution,radial_order,angular_order,state_bins,z_order,z,G_N,a_w,b_w,profile_sum,delta_N,w_N,Delta_N,H_N,row_error,cgal_version
objective_profiles,2,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,3.000000000000000000e+01,1073741824,1.019970685457260551e+00,verification,128,32,33,65,6.999999999999999556e-01,5.766739337029803958e-02,4.547466569040335693e-02,1.472665889925022301e-02,6.020132458965357647e-02,2.825641827020512151e-05,2.417444485350962680e+00,9.463646528078026006e-05,2.494303704055561011e-01,1.298960938811433152e-14,6.1.1-I-900
objective_profiles,2,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,3.000000000000000000e+01,1073741824,1.019970685457260551e+00,verification,128,32,33,65,7.004215903281896249e-01,5.747101401640955509e-02,4.531964955079932633e-02,1.468269511965046917e-02,6.000234467044979203e-02,2.825641827020512151e-05,2.417444485350962680e+00,9.463646528078026006e-05,2.494303704055561011e-01,9.658940314238861902e-15,6.1.1-I-900
objective_profiles,2,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,3.000000000000000000e+01,1073741824,1.019970685457260551e+00,verification,128,32,33,65,7.016853456647310638e-01,5.688499592316888925e-02,4.485716424136247660e-02,1.455135441388584645e-02,5.940851865524832132e-02,2.825641827020512151e-05,2.417444485350962680e+00,9.463646528078026006e-05,2.494303704055561011e-01,1.376676550535194110e-14,6.1.1-I-900
objective_profiles,2,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,3.000000000000000000e+01,1073741824,1.019970685457260551e+00,verification,128,32,33,65,7.037882215123265617e-01,5.591863071974581545e-02,4.409483265114171741e-02,1.433428041354389837e-02,5.842911306468561577e-02,2.825641827020512151e-05,2.417444485350962680e+00,9.463646528078026006e-05,2.494303704055561011e-01,9.658940314238861902e-15,6.1.1-I-900
objective_profiles,2,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,3.000000000000000000e+01,1073741824,1.019970685457260551e+00,verification,128,32,33,65,7.067251518588693049e-01,5.458720169541559503e-02,4.304514101709190632e-02,1.403418513464766045e-02,5.707932615173956503e-02,2.825641827020512151e-05,2.417444485350962680e+00,9.463646528078026006e-05,2.494303704055561011e-01,9.658940314238861902e-15,6.1.1-I-900
objective_profiles,2,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,3.000000000000000000e+01,1073741824,1.019970685457260551e+00,verification,128,32,33,65,7.104890613819095924e-01,5.291158956424447252e-02,4.172512095829544743e-02,1.365480857486422485e-02,5.537992953315967054e-02,2.825641827020512151e-05,2.417444485350962680e+00,9.463646528078026006e-05,2.494303704055561011e-01,9.658940314238861902e-15,6.1.1-I-900
objective_profiles,2,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,3.000000000000000000e+01,1073741824,1.019970685457260551e+00,verification,128,32,33,65,7.150708824937268560e-01,5.091770635571984255e-02,4.015592343471886816e-02,1.320086342781627911e-02,5.335678686253514380e-02,2.825641827020512151e-05,2.417444485350962680e+00,9.463646528078026006e-05,2.494303704055561011e-01,1.298960938811433152e-14,6.1.1-I-900
objective_profiles,2,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,3.000000000000000000e+01,1073741824,1.019970685457260551e+00,verification,128,32,33,65,7.204595771859426678e-01,4.863598315199903904e-02,3.836230219622360771e-02,1.267796613359020545e-02,5.104026832981381490e-02,2.825641827020512151e-05,2.417444485350962680e+00,9.463646528078026006e-05,2.494303704055561011e-01,9.658940314238861902e-15,6.1.1-I-900
objective_profiles,2,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,3.000000000000000000e+01,1073741824,1.019970685457260551e+00,verification,128,32,33,65,7.266421636210496082e-01,4.610081971979698018e-02,3.637202726827556271e-02,1.209255575255649418e-02,4.846458302083205688e-02,2.825641827020512151e-05,2.417444485350962680e+00,9.463646528078026006e-05,2.494303704055561011e-01,1.776356839400250465e-14,6.1.1-I-900
objective_profiles,2,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,3.000000000000000000e+01,1073741824,1.019970685457260551e+00,verification,128,32,33,65,7.336037474067947928e-01,4.334955569763061095e-02,3.421525074482292816e-02,1.145180236431981441e-02,4.566705310914274257e-02,2.825641827020512151e-05,2.417444485350962680e+00,9.463646528078026006e-05,2.494303704055561011e-01,1.165734175856414367e-14,6.1.1-I-900
