dataset,shard_index,shard_count,d,lambda_ratio,lambda_star,lambda,log2N,N,alpha,evaluation_resolution,radial_order,angular_order,state_bins,z_order,z,G_N,a_w,b_w,profile_sum,delta_N,w_N,Delta_N,H_N,row_error,cgal_version
objective_profiles,0,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.400000000000000000e+01,16384,1.042794325979844006e+00,verification,128,32,33,65,6.999999999999999556e-01,4.692813968103606848e-02,4.225671246756929761e-02,1.724590705420066955e-02,5.950261952176996716e-02,7.233153061271781030e-03,1.918230921964109159e+00,1.887409807986076271e-02,2.550281968443779412e-01,1.354472090042690979e-14,6.1.1-I-900
objective_profiles,0,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.400000000000000000e+01,16384,1.042794325979844006e+00,verification,128,32,33,65,7.004215903281896249e-01,4.674619523137685945e-02,4.211266583545821701e-02,1.719442251436609226e-02,5.930708834982430927e-02,7.233153061271781030e-03,1.918230921964109159e+00,1.887409807986076271e-02,2.550281968443779412e-01,4.329869796038110508e-15,6.1.1-I-900
objective_profiles,0,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.400000000000000000e+01,16384,1.042794325979844006e+00,verification,128,32,33,65,7.016853456647310638e-01,4.620342573435790717e-02,4.168290767353131226e-02,1.704061372314290973e-02,5.872352139667422199e-02,7.233153061271781030e-03,1.918230921964109159e+00,1.887409807986076271e-02,2.550281968443779412e-01,1.187938636348917498e-14,6.1.1-I-900
objective_profiles,0,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.400000000000000000e+01,16384,1.042794325979844006e+00,verification,128,32,33,65,7.037882215123265617e-01,4.530895051191031336e-02,4.097452144740230950e-02,1.678640548355562687e-02,5.776092693095793984e-02,7.233153061271781030e-03,1.918230921964109159e+00,1.887409807986076271e-02,2.550281968443779412e-01,4.551914400963141816e-15,6.1.1-I-900
objective_profiles,0,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.400000000000000000e+01,16384,1.042794325979844006e+00,verification,128,32,33,65,7.067251518588693049e-01,4.407773056698466307e-02,3.999910982235286433e-02,1.643497374858738855e-02,5.643408357094024941e-02,7.233153061271781030e-03,1.918230921964109159e+00,1.887409807986076271e-02,2.550281968443779412e-01,5.329070518200751394e-15,6.1.1-I-900
objective_profiles,0,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.400000000000000000e+01,16384,1.042794325979844006e+00,verification,128,32,33,65,7.104890613819095924e-01,4.253022176019814748e-02,3.877249919797268879e-02,1.599069830679654067e-02,5.476319750476922599e-02,7.233153061271781030e-03,1.918230921964109159e+00,1.887409807986076271e-02,2.550281968443779412e-01,6.106226635438360972e-15,6.1.1-I-900
objective_profiles,0,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.400000000000000000e+01,16384,1.042794325979844006e+00,verification,128,32,33,65,7.150708824937268560e-01,4.069190869637404756e-02,3.731434381514838611e-02,1.545909803906080071e-02,5.277344185420918682e-02,7.233153061271781030e-03,1.918230921964109159e+00,1.887409807986076271e-02,2.550281968443779412e-01,4.329869796038110508e-15,6.1.1-I-900
objective_profiles,0,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.400000000000000000e+01,16384,1.042794325979844006e+00,verification,128,32,33,65,7.204595771859426678e-01,3.859273687701942485e-02,3.564764575810659697e-02,1.484675017408954023e-02,5.049439593219613720e-02,7.233153061271781030e-03,1.918230921964109159e+00,1.887409807986076271e-02,2.550281968443779412e-01,1.731947918415244203e-14,6.1.1-I-900
objective_profiles,0,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.400000000000000000e+01,16384,1.042794325979844006e+00,verification,128,32,33,65,7.266421636210496082e-01,3.626646437964448771e-02,3.379820994401416118e-02,1.416119528421661868e-02,4.795940522823077812e-02,7.233153061271781030e-03,1.918230921964109159e+00,1.887409807986076271e-02,2.550281968443779412e-01,4.329869796038110508e-15,6.1.1-I-900
objective_profiles,0,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.400000000000000000e+01,16384,1.042794325979844006e+00,verification,128,32,33,65,7.336037474067947928e-01,3.374995549137907447e-02,3.179405479466525936e-02,1.341083001441624456e-02,4.520488480908150392e-02,7.233153061271781030e-03,1.918230921964109159e+00,1.887409807986076271e-02,2.550281968443779412e-01,1.709743457922741072e-14,6.1.1-I-900
objective_profiles,0,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.400000000000000000e+01,16384,1.042794325979844006e+00,verification,128,32,33,65,7.413275574780756605e-01,3.108243996247911367e-02,2.966479969910430087e-02,1.260478972063510533e-02,4.226958941973940620e-02,7.233153061271781030e-03,1.918230921964109159e+00,1.887409807986076271e-02,2.550281968443779412e-01,5.551115123125782702e-15,6.1.1-I-900
objective_profiles,0,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.400000000000000000e+01,16384,1.042794325979844006e+00,verification,128,32,33,65,7.497949864999047254e-01,2.830476068175215645e-02,2.744104967701187572e-02,1.175282330624430153e-02,3.919387298325617552e-02,7.233153061271781030e-03,1.918230921964109159e+00,1.887409807986076271e-02,2.550281968443779412e-01,5.218048215738235740e-15,6.1.1-I-900
objective_profiles,0,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.400000000000000000e+01,16384,1.042794325979844006e+00,verification,128,32,33,65,7.589856356941091509e-01,2.545863086163294153e-02,2.515379599274635350e-02,1.086516258900897293e-02,3.601895858175532816e-02,7.233153061271781030e-03,1.918230921964109159e+00,1.887409807986076271e-02,2.550281968443779412e-01,4.329869796038110508e-15,6.1.1-I-900
objective_profiles,0,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.400000000000000000e+01,16384,1.042794325979844006e+00,verification,128,32,33,65,7.688773639817741978e-01,2.258591968097535194e-02,2.283384905669400000e-02,9.952388509838134764e-03,3.278623756653213650e-02,7.233153061271781030e-03,1.918230921964109159e+00,1.887409807986076271e-02,2.550281968443779412e-01,4.440892098500626162e-15,6.1.1-I-900
objective_profiles,0,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.400000000000000000e+01,16384,1.042794325979844006e+00,verification,128,32,33,65,7.794463413230420246e-01,1.972798215058849808e-02,2.051131702134275162e-02,9.025296415573159578e-03,2.953661343691590946e-02,7.233153061271781030e-03,1.918230921964109159e+00,1.887409807986076271e-02,2.550281968443779412e-01,5.218048215738235740e-15,6.1.1-I-900
objective_profiles,0,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.400000000000000000e+01,16384,1.042794325979844006e+00,verification,128,32,33,65,7.906671061257641853e-01,1.692504562042056182e-02,1.821514027627236382e-02,8.094762519842346390e-03,2.630990279611471194e-02,7.233153061271781030e-03,1.918230921964109159e+00,1.887409807986076271e-02,2.550281968443779412e-01,4.329869796038110508e-15,6.1.1-I-900
objective_profiles,0,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.400000000000000000e+01,16384,1.042794325979844006e+00,verification,128,32,33,65,8.025126265847083440e-01,1.421566208620816431e-02,1.597268879440738934e-02,7.171613478253780621e-03,2.314430227266116996e-02,7.233153061271781030e-03,1.918230921964109159e+00,1.887409807986076271e-02,2.550281968443779412e-01,1.310063169057684718e-14,6.1.1-I-900
objective_profiles,0,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.400000000000000000e+01,16384,1.042794325979844006e+00,verification,128,32,33,65,8.149543658035435234e-01,1.163623211728405209e-02,1.380942617405043343e-02,6.266500817009415351e-03,2.007592699105984965e-02,7.233153061271781030e-03,1.918230921964109159e+00,1.887409807986076271e-02,2.550281968443779412e-01,1.043609643147647148e-14,6.1.1-I-900
objective_profiles,0,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.400000000000000000e+01,16384,1.042794325979844006e+00,verification,128,32,33,65,8.279623505427240460e-01,9.220602921640206479e-03,1.174864140738353727e-02,5.389781737264206889e-03,1.713842314464774502e-02,7.233153061271781030e-03,1.918230921964109159e+00,1.887409807986076271e-02,2.550281968443779412e-01,4.662936703425657470e-15,6.1.1-I-900
objective_profiles,0,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.400000000000000000e+01,16384,1.042794325979844006e+00,verification,128,32,33,65,8.415052434276482085e-01,6.999740749824211357e-03,9.811246989742991587e-03,4.551407590404245827e-03,1.436265458014723828e-02,7.233153061271781030e-03,1.918230921964109159e+00,1.887409807986076271e-02,2.550281968443779412e-01,5.551115123125782702e-15,6.1.1-I-900
objective_profiles,0,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.400000000000000000e+01,16384,1.042794325979844006e+00,verification,128,32,33,65,8.555504184431391712e-01,5.001475720554282058e-03,8.015640023028968580e-03,3.760821090002710275e-03,1.177646111303167972e-02,7.233153061271781030e-03,1.918230921964109159e+00,1.887409807986076271e-02,2.550281968443779412e-01,6.217248937900876626e-15,6.1.1-I-900
objective_profiles,0,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.400000000000000000e+01,16384,1.042794325979844006e+00,verification,128,32,33,65,8.700640395323723242e-01,3.250315069941757829e-03,6.377621478792733743e-03,3.026863101398491462e-03,9.404484580191226073e-03,7.233153061271781030e-03,1.918230921964109159e+00,1.887409807986076271e-02,2.550281968443779412e-01,4.773959005888173124e-15,6.1.1-I-900
objective_profiles,0,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.400000000000000000e+01,16384,1.042794325979844006e+00,verification,128,32,33,65,8.850111421109007059e-01,1.767319308800183609e-03,4.910367756533849139e-03,2.357689635132929375e-03,7.268057391666778513e-03,7.233153061271781030e-03,1.918230921964109159e+00,1.887409807986076271e-02,2.550281968443779412e-01,4.551914400963141816e-15,6.1.1-I-900
objective_profiles,0,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.400000000000000000e+01,16384,1.042794325979844006e+00,verification,128,32,33,65,9.003557172994012259e-01,5.700360072814314276e-04,3.624448060810426739e-03,1.760699470025053719e-03,5.385147530835480457e-03,7.233153061271781030e-03,1.918230921964109159e+00,1.887409807986076271e-02,2.550281968443779412e-01,1.176836406102665933e-14,6.1.1-I-900
objective_profiles,0,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.400000000000000000e+01,16384,1.042794325979844006e+00,verification,128,32,33,65,9.160607986722184570e-01,-3.275145406117837416e-04,2.527880871204256450e-03,1.242472648332230024e-03,3.770353519536486474e-03,7.233153061271781030e-03,1.918230921964109159e+00,1.887409807986076271e-02,2.550281968443779412e-01,4.329869796038110508e-15,6.1.1-I-900
objective_profiles,0,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.400000000000000000e+01,16384,1.042794325979844006e+00,verification,128,32,33,65,9.320885513127229460e-01,-9.148102783790376539e-04,1.626222827940932477e-03,8.087199209594351850e-04,2.434942748900367770e-03,7.233153061271781030e-03,1.918230921964109159e+00,1.887409807986076271e-02,2.550281968443779412e-01,6.883382752675970551e-15,6.1.1-I-900
