lambda_ratio,log2N,C0,C1,C2
1.0,14,0.02549966276794391,0.07584324685258664,0.06580882166383129
1.0,22,0.00858816549354885,0.025278463462553358,0.02435793070105552
1.0,30,0.005528738357035795,0.016220449636408507,0.01650937629061211
1.1,14,0.02951604334315401,0.08923161504405269,0.0804583391063094
1.1,22,0.008250384554049167,0.025540190409822916,0.02876835861222604
1.1,30,0.004366097471196553,0.014025482836183933,0.020147819826557445
2.0,14,0.12379440217101231,0.3868623231272964,0.3954383059006451
2.0,22,0.04056530480949001,0.12933031270480977,0.14000687245251575
2.0,30,0.014219683860739601,0.048454855024415766,0.06485223689126152
