alpha,gamma,alternation,best_block,envelope,active_m,is_envelope_minimum
256,4.831666666666666887e-01,7.190881426999698815e-41,4.021132719493005538e+02,4.021132719493005538e+02,10,0
256,4.833333333333333370e-01,6.433255902932537909e-41,3.700187484315408710e+02,3.700187484315408710e+02,10,0
256,4.835000000000000409e-01,5.755318489135808574e-41,3.404761198399114619e+02,3.404761198399114619e+02,10,0
256,4.836666666666666892e-01,5.148701613074745319e-41,3.132832526476456110e+02,3.132832526476456110e+02,10,0
256,4.838333333333333375e-01,4.605914850753647396e-41,2.882539630187665693e+02,2.882539630187665693e+02,10,0
256,4.839999999999999858e-01,4.120253132536237247e-41,2.652167630931814983e+02,2.652167630931814983e+02,10,0
256,4.841666666666666896e-01,3.685714539132390641e-41,2.440137054403571142e+02,2.440137054403571142e+02,10,0
256,4.843333333333333379e-01,3.296926687506786995e-41,2.244993180244225357e+02,2.244993180244225357e+02,10,0
256,4.845000000000000417e-01,2.949080810611069056e-41,2.065396226184783757e+02,2.065396226184783757e+02,10,0
256,4.846666666666666901e-01,2.637872728168916026e-41,1.900112301548711571e+02,1.900112301548711571e+02,10,0
256,4.848333333333333384e-01,2.359449989357502436e-41,1.748005070043475371e+02,1.748005070043475371e+02,10,0
256,4.849999999999999867e-01,2.110364543162938083e-41,1.608028066446108824e+02,1.608028066446108824e+02,10,0
256,4.851666666666666905e-01,1.887530359308921081e-41,1.479217616093517051e+02,1.479217616093517051e+02,10,0
256,4.853333333333333388e-01,1.688185482815671960e-41,1.360923683298320555e+02,1.360923683298320555e+02,11,0
256,4.855000000000000426e-01,1.509858059126876161e-41,1.252207435603248626e+02,1.252207435603248626e+02,11,0
256,4.856666666666666909e-01,1.350335915032723279e-41,1.152143605179558108e+02,1.152143605179558108e+02,11,0
256,4.858333333333333393e-01,1.207639323865268834e-41,1.060046141941440965e+02,1.060046141941440965e+02,11,0
256,4.859999999999999876e-01,1.079996622199430336e-41,9.752831890663981085e+01,9.752831890663981085e+01,11,0
256,4.861666666666666914e-01,9.658223800074661470e-42,8.972728181973801043e+01,8.972728181973801043e+01,11,0
256,4.863333333333333397e-01,8.636978573172727226e-42,8.254790990026525321e+01,8.254790990026525321e+01,11,0
256,4.865000000000000435e-01,7.723535082849778530e-42,7.594084769791921019e+01,7.594084769791921019e+01,11,0
256,4.866666666666666918e-01,6.906533185515327078e-42,6.986064354175381652e+01,6.986064354175381652e+01,11,0
256,4.868333333333333401e-01,6.175807841092472895e-42,6.426544193195100263e+01,6.426544193195100263e+01,11,0
256,4.869999999999999885e-01,5.522263599324471183e-42,5.911670007907006408e+01,5.911670007907006408e+01,11,0
256,4.871666666666666923e-01,4.937762245643398724e-42,5.437892670230525738e+01,5.437892670230525738e+01,11,0
256,4.873333333333333406e-01,4.415022229210671194e-42,5.001944134551121834e+01,5.001944134551121834e+01,11,0
256,4.874999999999999889e-01,3.947528639663588726e-42,4.600815260536592888e+01,4.600815260536592888e+01,11,0
256,4.876666666666666927e-01,3.529452628019253947e-42,4.231735379131399810e+01,4.231735379131399810e+01,11,0
256,4.878333333333333410e-01,3.155579282641307421e-42,3.892153465227332987e+01,3.892153465227332987e+01,11,0
256,4.879999999999999893e-01,2.821243074593543699e-42,3.579720791163054372e+01,3.579720791163054372e+01,11,0
256,4.881666666666666932e-01,2.522270079321027394e-42,3.292274945022973753e+01,3.292274945022973753e+01,11,0
256,4.883333333333333415e-01,2.254926264550770004e-42,3.027825106763617669e+01,3.027825106763617669e+01,11,0
256,4.884999999999999898e-01,2.015871208588949751e-42,2.784538483547767385e+01,2.784538483547767385e+01,11,0
256,4.886666666666666936e-01,1.802116679725826707e-42,2.560727813370045780e+01,2.560727813370045780e+01,11,0
256,4.888333333333333419e-01,1.610989567036558365e-42,2.354839853161910668e+01,2.354839853161910668e+01,11,0
256,4.889999999999999902e-01,1.440098706221182113e-42,2.165444774111837489e+01,2.165444774111837489e+01,11,0
256,4.891666666666666941e-01,1.287305191909394765e-42,1.991226392982219906e+01,1.991226392982219906e+01,11,0
256,4.893333333333333424e-01,1.150695810638509122e-42,1.830973173770292206e+01,1.830973173770292206e+01,11,0
256,4.895000000000000462e-01,1.028559267026078544e-42,1.683569939197473175e+01,1.683569939197473175e+01,11,0
256,4.896666666666666945e-01,9.193649099678640583e-43,1.547990236250445761e+01,1.547990236250445761e+01,11,0
256,4.898333333333333428e-01,8.217436964068536831e-43,1.423289304360118557e+01,1.423289304360118557e+01,11,0
256,4.899999999999999911e-01,7.344711577276790993e-43,1.308597598833451592e+01,1.308597598833451592e+01,11,0
256,4.901666666666666949e-01,6.564521584567957585e-43,1.203114825864315307e+01,1.203114825864315307e+01,11,0
256,4.903333333333333433e-01,5.867072589998952899e-43,1.106104448872309121e+01,1.106104448872309121e+01,11,0
256,4.904999999999999916e-01,5.243605138908665268e-43,1.016888629073751638e+01,1.016888629073751638e+01,11,0
256,4.906666666666666954e-01,4.686285547020548413e-43,9.348435660980005224e+00,9.348435660980005224e+00,11,0
256,4.908333333333333437e-01,4.188108225911582125e-43,8.593952071444396879e+00,8.593952071444396879e+00,11,0
256,4.909999999999999920e-01,3.742808296270678976e-43,7.900152956465666065e+00,7.900152956465666065e+00,11,0
256,4.911666666666666958e-01,3.344783407219035474e-43,7.262177326905490560e+00,7.262177326905490560e+00,11,0
256,4.913333333333333441e-01,2.989023793499750725e-43,6.675552265348286163e+00,6.675552265348286163e+00,11,0
256,4.914999999999999925e-01,2.671049704001736473e-43,6.136162075142706840e+00,6.136162075142706840e+00,11,0
256,4.916666666666666963e-01,2.386855426078499175e-43,5.640219873985234500e+00,5.640219873985234500e+00,11,0
256,4.918333333333333446e-01,2.132859211574652672e-43,5.184241439182431854e+00,5.184241439182431854e+00,11,0
256,4.919999999999999929e-01,1.905858483392052062e-43,4.765021126904253279e+00,4.765021126904253279e+00,11,0
256,4.921666666666666967e-01,1.702989766693944680e-43,4.379609701716680625e+00,4.379609701716680625e+00,11,0
256,4.923333333333333450e-01,1.521692847269627198e-43,4.025293925567001274e+00,4.025293925567001274e+00,11,0
