alpha,dimension,gamma,scaled_difference
2,2,0.17200000000000001,-1.7064846416382253
2,2,0.17300000000000001,-1.7050298380221653
2,2,0.17400000000000002,-1.7035775127768313
2,2,0.17500000000000002,-1.702127659574468
2,2,0.176,-1.7006802721088436
2,2,0.177,-1.699235344095157
2,2,0.178,-1.697792869269949
2,2,0.179,-1.6963528413910092
2,2,0.18,-1.6949152542372883
2,2,0.181,-1.6934801016088061
2,2,0.182,-1.6920473773265652
2,2,0.183,-1.6906170752324599
2,2,0.184,-1.6891891891891893
2,2,0.185,-1.6877637130801686
2,2,0.186,-1.6863406408094437
2,2,0.187,-1.6849199663016006
2,2,0.188,-1.6835016835016836
2,2,0.189,-1.682085786375105
2,2,0.19,-1.680672268907563
2,2,0.191,-1.6792611251049538
2,2,0.192,-1.6778523489932886
2,2,0.193,-1.6764459346186085
2,2,0.194,-1.6750418760469012
2,2,0.195,-1.6736401673640167
2,2,0.196,-1.6722408026755853
2,2,0.197,-1.670843776106934
2,2,0.198,-1.669449081803005
2,2,0.199,-1.6680567139282734
2,2,0.2,-1.6666666666666667
2,2,0.201,-1.665278934221482
2,2,0.202,-1.663893510815308
2,2,0.203,-1.6625103906899417
2,2,0.20400000000000001,-1.6611295681063123
2,2,0.20500000000000002,-1.6597510373443982
2,2,0.20600000000000002,-1.658374792703151
2,2,0.20700000000000002,-1.657000828500414
2,2,0.20800000000000002,-1.6556291390728477
2,2,0.209,-1.6542597187758477
2,2,0.21,-1.6528925619834711
2,2,0.211,-1.6515276630883566
2,2,0.212,-1.6501650165016502
2,2,0.213,-1.6488046166529264
2,2,0.214,-1.6474464579901154
2,2,0.215,-1.6460905349794237
2,2,0.216,-1.6447368421052633
2,2,0.217,-1.6433853738701725
2,2,0.218,-1.6420361247947455
2,2,0.219,-1.6406890894175552
2,2,0.22,-1.639344262295082
2,2,0.221,-1.6380016380016378
2,2,0.222,-1.6366612111292962
2,2,0.223,-1.6353229762878168
2,2,0.224,-1.6339869281045751
2,2,0.225,-1.6326530612244896
2,2,0.226,-1.6313213703099512
2,2,0.227,-1.6299918500407498
2,2,0.228,-1.6286644951140066
2,2,0.229,-1.6273393002441008
2,2,0.23,-1.6260162601626016
2,2,0.231,-1.6246953696181965
2,2,0.232,-1.6233766233766234
2,2,0.233,-1.6220600162206
2,2,0.234,-1.6207455429497568
2,2,0.23500000000000001,-1.6194331983805668
2,2,0.23600000000000002,-1.6181229773462784
2,2,0.23700000000000002,-1.6168148746968471
2,2,0.23800000000000002,-1.6155088852988693
2,2,0.23900000000000002,-1.6142050040355125
2,2,0.24,-1.6129032258064517
2,2,0.241,-1.6116035455278
2,2,0.242,-1.6103059581320451
2,2,0.243,-1.6090104585679808
2,2,0.244,-1.607717041800643
2,2,0.245,-1.6064257028112447
2,2,0.246,-1.6051364365971108
2,2,0.247,-1.603849238171612
