d,H_d_1,H_resolution_error,lambda_star,second_crossover,critical_prefactor
1,1.666666666666657692e-01,2.498001805406602216e-16,3.646431135879091845e-01,5.469646703818638045e-01,1.047360009523664148e+00
2,2.445331760445666747e-01,1.568775445659476020e-08,4.152787295564890901e-01,6.229180943347336630e-01,1.042636670433968682e+00
3,2.892857142857139796e-01,3.885780586188047891e-16,4.462871026284195297e-01,6.694306539426293501e-01,1.039395184618725931e+00
5,3.385040885040881964e-01,4.996003610813204432e-16,4.823241136337760859e-01,7.234861704506641011e-01,1.035310861190815723e+00
10,3.874833953478104553e-01,5.551115123125782702e-16,5.205661965273330472e-01,7.808492947909995152e-01,1.030634475542372197e+00
20,4.173951906871873896e-01,8.881784197001252323e-16,5.452883901744808304e-01,8.179325852617211901e-01,1.027446410076001460e+00
50,4.375206514096650068e-01,1.276756478318930021e-15,5.625845487060197048e-01,8.438768230590295572e-01,1.025149739236234314e+00
100,4.446380800125724342e-01,4.996003610813204432e-16,5.688388536339289425e-01,8.532582804508934693e-01,1.024307332185800945e+00
