d,alpha,gamma_uniform,gamma_adversarial,gamma_balanced,uniform_minimum,adversarial_minimum,uniform_at_adversarial,adversarial_at_uniform,uniform_at_balanced,adversarial_at_balanced,uniform_loss_at_adversarial,adversarial_loss_at_uniform,balanced_maximum_loss,gamma_interval_width
2,1.25,0.74079793254457305,0.94117647058823528,0.85146568767428432,0.57701419223814343,0.99233660006807256,0.59736501476822612,1.0374678321649362,0.58280421207914312,1.0022941516452353,0.035269188875831858,0.045479761699576349,0.010034449618199437,7.724838088640773e-06
2,1.5,0.64247440559377178,0.80000000000000004,0.72057692588439604,0.47539149312263657,0.94280904158206336,0.49337800854108232,0.97920824512539195,0.47986619897004246,0.95168339721138662,0.037835164656187414,0.038607185482915529,0.0094126755662331529,7.7248380885297507e-06
2,2,0.58113883008418976,0.66666666666666663,0.6227766018055888,0.32455532033675866,0.80000000000000004,0.33333333333333337,0.82106723119177927,0.32669203346411624,0.80526680776792336,0.02704627669472992,0.026334038989723974,0.0065835097854520797,3.18616022454421e-10
2,2.5,0.55820887579077838,0.6135117904356906,0.58520897070806421,0.22653924612009971,0.6631643149466645,0.23126360538006116,0.67664547725469826,0.22769323243758666,0.66654246048432841,0.020854484778574989,0.02032854000764206,0.0050939796845406171,7.7248380885297507e-06
2,3,0.54599629278250317,0.58578643762690508,0.56548810377411907,0.16152812206031922,0.545819714368591,0.16430299547234439,0.55499982038615703,0.16220869813579888,0.54811944917151212,0.017178887345628668,0.016818934486794168,0.0042133597273625867,7.7248380885297507e-06
10,1.25,0.76339313409776777,0.94117647058823528,0.86171493313489456,0.8412949679610302,0.99233660006807256,0.86485382894096796,1.0283378820352322,0.8480116953082002,1.0002592129510737,0.028003092704851351,0.036279304789010203,0.0079837959371713563,7.724838088640773e-06
10,1.5,0.65080094972611857,0.80000000000000004,0.72498668865907478,0.7308790637691801,0.94280904158206336,0.75534640321805291,0.97530161018276751,0.73700330428838701,0.95070910277193288,0.033476590946104778,0.034463573393590519,0.0083792802705606739,7.7248380885297507e-06
10,2,0.58113883008418976,0.66666666666666663,0.6227766018055888,0.54092553389459774,0.80000000000000004,0.55555555555555569,0.82106723119177927,0.54448672244019369,0.80526680776792336,0.027046276694730143,0.026334038989723974,0.0065835097854520797,3.18616022454421e-10
10,2.5,0.55592556439030028,0.6135117904356906,0.58398440960325093,0.4000491686065818,0.6631643149466645,0.40918460327466877,0.67783685060214871,0.40227159225826797,0.66684844219696826,0.022835779661551925,0.02212503798046539,0.0055553762539417573,7.724838088640773e-06
10,3,0.54293717926481389,0.58578643762690508,0.56385879722168319,0.29694220621956646,0.545819714368591,0.30295336297866043,0.55652991810843344,0.29840687096526369,0.54851196516567691,0.020243524272360203,0.01962223689965481,0.0049324909528496441,7.7248380885297507e-06
