lambda_ratio,log2N_left,log2N_right,beta_quotient
1.5,30.0,32.0,0.3342111788453048
1.6,10.0,12.0,0.30727423215290933
1.6,12.0,14.0,0.30948576004001543
1.6,14.0,16.0,0.31028251884369473
1.6,16.0,18.0,0.31053192397520396
1.6,18.0,20.0,0.31061303135174967
1.6,20.0,22.0,0.31072463300123426
1.6,22.0,24.0,0.31093534778978704
1.6,24.0,26.0,0.3111504704252803
1.6,26.0,28.0,0.3113605669456546
1.6,28.0,30.0,0.3115901120362253
1.6,30.0,32.0,0.3118111705896689
1.75,10.0,12.0,0.27682826629373275
1.75,12.0,14.0,0.27639165680317085
1.75,14.0,16.0,0.27597696479056394
1.75,16.0,18.0,0.2763146450578498
1.75,18.0,20.0,0.27719009700114106
1.75,20.0,22.0,0.2784309189917017
1.75,22.0,24.0,0.27973289621307307
1.75,24.0,26.0,0.2809268466491051
1.75,26.0,28.0,0.2820665458847742
1.75,28.0,30.0,0.28295455486726223
1.75,30.0,32.0,0.2836371124586082
2.0,10.0,12.0,0.23491837080780176
2.0,12.0,14.0,0.23252723538073863
2.0,14.0,16.0,0.23207164407078884
2.0,16.0,18.0,0.23306348934398508
2.0,18.0,20.0,0.2350780622319553
2.0,20.0,22.0,0.2374284915616904
2.0,22.0,24.0,0.23968638956473565
2.0,24.0,26.0,0.24178910589765154
2.0,26.0,28.0,0.24355108532859268
2.0,28.0,30.0,0.2450242394481904
2.0,30.0,32.0,0.24622251898143543
