dataset,shard_index,shard_count,d,lambda_ratio,lambda_star,lambda,log2N,N,alpha,delta_128,delta_256,delta_512,objective_256,objective_512,beta_512,scale_type,theory_scale,collapse_ratio,location_rel_change,value_rel_change,derivative_scaled,neighbor_left,neighbor_right,first_order_ok,neighbor_ok,accepted
phase_regimes,3,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,1.600000000000000000e+01,65536,1.000000000000000000e+00,3.856461626638774121e-03,3.856221369699652790e-03,3.856374258747186090e-03,4.375401212136222603e+04,4.375401190249407227e+04,5.011587008521466435e-01,subcritical,3.863304883105819505e-03,9.982060374295228522e-01,3.964580128251577292e-05,5.002241948454373411e-09,1.725495190277799762e-08,1.269002046319656074e-02,1.272113609593361616e-02,1,1,1
phase_regimes,3,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,2.400000000000000000e+01,16777216,1.000000000000000000e+00,2.413992364757033826e-04,2.414142765463367368e-04,2.414238479881980481e-04,1.118582349087556452e+07,1.118582345884917863e+07,5.006726744234054616e-01,subcritical,2.414565551941137190e-04,9.998645420668352823e-01,3.964580111314940059e-05,2.863122773774962045e-09,1.998387022480372746e-09,2.030460964888334274e-01,2.021572217345237732e-01,1,1,1
phase_regimes,3,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,3.200000000000000000e+01,4294967296,1.000000000000000000e+00,1.509630381613114025e-05,1.509232020724393664e-05,1.509291857804129222e-05,2.863327757619632721e+09,2.863327736704712391e+09,5.004927706838684376e-01,subcritical,1.509103469963210744e-05,1.000124834277216879e+00,3.964579774690864955e-05,7.304410201438463435e-09,2.244025587577976191e-11,3.216163635253906250e+00,3.266469478607177734e+00,1,1,1
phase_regimes,3,4,2,1.000000000000000056e-01,4.152787295564890901e-01,4.152787295564891457e-02,1.600000000000000000e+01,65536,1.003744503523236409e+00,4.083600460013547817e-03,4.083346052361602752e-03,4.083184164835440555e-03,4.369558381811869185e+04,4.369558359892482986e+04,4.960056028381770732e-01,subcritical,4.101843674385857036e-03,9.954509457132809658e-01,3.964737313501041991e-05,5.016384813769146196e-09,4.182462473652178109e-08,1.221336008165962994e-02,1.214473211439326406e-02,1,1,1
phase_regimes,3,4,2,1.000000000000000056e-01,4.152787295564890901e-01,4.152787295564891457e-02,2.400000000000000000e+01,16777216,1.002496335682157458e+00,2.558599226860636122e-04,2.557408406094197062e-04,2.557509800619195417e-04,1.117646288000921346e+07,1.117646285001095757e+07,4.972071921260228788e-01,subcritical,2.562055187134370214e-04,9.982258826671650542e-01,3.964580115149763821e-05,2.684056333042672547e-09,6.148840979756737823e-10,1.932544540613889694e-01,1.930194906890392303e-01,1,1,1
phase_regimes,3,4,2,1.000000000000000056e-01,4.152787295564890901e-01,4.152787295564891457e-02,3.200000000000000000e+01,4294967296,1.001872251761618093e+00,1.599124516793448691e-05,1.599224148196576323e-05,1.598955588033579289e-05,2.861540960602135181e+09,2.861540939983762741e+09,4.978909564623910100e-01,subcritical,1.600785183822628027e-05,9.988570635163678268e-01,1.679597388488526192e-04,7.205338966932666244e-09,6.640464404644287333e-11,3.072977066040039062e+00,3.095072269439697266e+00,1,1,1
phase_regimes,3,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,1.600000000000000000e+01,65536,1.007489007046472596e+00,4.343109325159022482e-03,4.341963266545789679e-03,4.342135413983538861e-03,4.363716186422336614e+04,4.363716164410876081e+04,4.904612228794102968e-01,subcritical,4.382138155761753154e-03,9.908714101755058401e-01,3.964580127897278996e-05,5.044200792018922073e-09,6.937307345041006947e-08,1.170622918289154768e-02,1.159352566173765808e-02,1,1,1
phase_regimes,3,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,2.400000000000000000e+01,16777216,1.004992671364315138e+00,2.723779358058120437e-04,2.723060607835448010e-04,2.722603320083338829e-04,1.116711554128817841e+07,1.116711551334696636e+07,4.934468991970430429e-01,subcritical,2.735435007495143431e-04,9.953090870824400360e-01,1.679597423304337992e-04,2.502097522379159614e-09,4.575959890825361344e-09,1.844653040170669556e-01,1.824998334050178528e-01,1,1,1
phase_regimes,3,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,3.200000000000000000e+01,4294967296,1.003744503523236409e+00,1.703360843952061998e-05,1.703254724849667667e-05,1.702261795299975233e-05,2.859756354245061874e+09,2.859756333932231426e+09,4.950683607656494734e-01,subcritical,1.708583063310293527e-05,9.963002863916541330e-01,5.833001436288819293e-04,7.102993428891202307e-09,2.117020568252876726e-09,3.031184196472167969e+00,2.811825275421142578e+00,1,1,1
phase_regimes,3,4,2,2.999999999999999889e-01,4.152787295564890901e-01,1.245836188669467159e-01,1.600000000000000000e+01,65536,1.011233510569709004e+00,4.642119166954894460e-03,4.640894205698686825e-03,4.641078204962956200e-03,4.357872312737820903e+04,4.357872290619241539e+04,4.844577672918013445e-01,subcritical,4.718479585217062559e-03,9.835961184410749736e-01,3.964580128656613540e-05,5.075545561778594639e-09,5.740820320463670356e-08,1.116371704847551882e-02,1.107638674875488505e-02,1,1,1
