dataset,shard_index,shard_count,d,lambda_ratio,lambda_star,lambda,log2N,N,alpha,delta_128,delta_256,delta_512,objective_256,objective_512,beta_512,scale_type,theory_scale,collapse_ratio,location_rel_change,value_rel_change,derivative_scaled,neighbor_left,neighbor_right,first_order_ok,neighbor_ok,accepted
phase_regimes,2,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,1.400000000000000000e+01,16384,1.000000000000000000e+00,7.698298115978441380e-03,7.698777748594065606e-03,7.699082984908178773e-03,1.095436365599743112e+04,1.095436357054891960e+04,5.015069759841372932e-01,subcritical,7.726609766211639009e-03,9.964374050021479468e-01,3.964580128717845890e-05,7.800408574775659842e-09,1.137424279457171833e-07,6.350376772388699464e-03,6.401133854524232447e-03,1,1,1
phase_regimes,2,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,2.200000000000000000e+01,4194304,1.000000000000000000e+00,4.827984729515177875e-04,4.828285530926734737e-04,4.828094109677882884e-04,2.796709091598292347e+06,2.796709087133171503e+06,5.007390264559550275e-01,subcritical,4.829131103882274381e-04,9.997852627766602440e-01,3.964737316701228689e-05,1.596562497360085218e-09,2.196886143191330239e-09,1.012004013173282146e-01,1.014466960914433002e-01,1,1,1
phase_regimes,2,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,3.000000000000000000e+01,1073741824,1.000000000000000000e+00,3.019260763215125820e-05,3.017855541809222331e-05,3.018362420048603667e-05,7.158359899485480785e+08,7.158359850169605017e+08,5.005291477085908047e-01,subcritical,3.018206939926421488e-05,1.000051514069537628e+00,1.679315366552882032e-04,6.889270279908189713e-09,2.845191852050916310e-10,1.614581227302551270e+00,1.625667691230773926e+00,1,1,1
phase_regimes,2,4,2,1.000000000000000056e-01,4.152787295564890901e-01,4.152787295564891457e-02,1.400000000000000000e+01,16384,1.004279432597984467e+00,8.149888389283765910e-03,8.149380652547777437e-03,8.149057563821782146e-03,1.093679638455204804e+04,1.093679630112990162e+04,4.956536473528819209e-01,subcritical,8.205876787618127804e-03,9.930757888197785377e-01,3.964737314283581850e-05,7.627658422129969084e-09,3.658004761179869426e-09,6.125428863015258685e-03,6.130025920356274582e-03,1,1,1
phase_regimes,2,4,2,1.000000000000000056e-01,4.152787295564890901e-01,4.152787295564891457e-02,2.200000000000000000e+01,4194304,1.002723275289626459e+00,5.114198045890194777e-04,5.114516679456393433e-04,5.114313910344892022e-04,2.794142259643621277e+06,2.794142255427617114e+06,4.969623484268935742e-01,subcritical,5.124691275454005537e-04,9.979750262891311507e-01,3.964737305061837253e-05,1.508872411502037120e-09,3.442243305735901268e-09,9.647934185341000557e-02,9.688556194305419922e-02,1,1,1
phase_regimes,2,4,2,1.000000000000000056e-01,4.152787295564890901e-01,4.152787295564891457e-02,3.000000000000000000e+01,1073741824,1.001997068545726011e+00,3.198249033575795153e-05,3.197405080412885070e-05,3.197531849130630377e-05,7.153593037991352081e+08,7.153592989619615078e+08,4.977560581747549895e-01,subcritical,3.201770113478289749e-05,9.986762746238969646e-01,3.964580299013247341e-05,6.761879949490743160e-09,3.995671467962348973e-10,1.546037793159484863e+00,1.537129759788513184e+00,1,1,1
phase_regimes,2,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,1.400000000000000000e+01,16384,1.008558865195968712e+00,8.659584139369846945e-03,8.660123663681407180e-03,8.660467014835804278e-03,1.091921063101233085e+04,1.091921054975478546e+04,4.893813900302562137e-01,subcritical,8.768937264916848093e-03,9.876301715015094462e-01,3.964580129557916227e-05,7.441705150658518531e-09,4.950670102868935849e-08,5.867138046596664935e-03,5.894049316339078359e-03,1,1,1
phase_regimes,2,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,2.200000000000000000e+01,4194304,1.005446550579252918e+00,5.444364605513563049e-04,5.444025422474130238e-04,5.443809589723569431e-04,2.791578943096040748e+06,2.791578939108557068e+06,4.928679897063118487e-01,subcritical,5.472107435026088863e-04,9.948287116730586410e-01,3.964737322338396261e-05,1.428397250167532510e-09,2.685212467905366224e-09,9.178719948977231979e-02,9.213069546967744827e-02,1,1,1
phase_regimes,2,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,3.000000000000000000e+01,1073741824,1.003994137091452021e+00,3.406721687904123996e-05,3.405822723023810283e-05,3.405250777976931431e-05,7.148832330917277336e+08,7.148832283536351919e+08,4.947293141912674774e-01,subcritical,3.417591749115765068e-05,9.963889861502542855e-01,1.679597433991767124e-04,6.627785285446399090e-09,1.881396507866263002e-10,1.464973568916320801e+00,1.456947803497314453e+00,1,1,1
phase_regimes,2,4,2,2.999999999999999889e-01,4.152787295564890901e-01,1.245836188669467159e-01,1.400000000000000000e+01,16384,1.012838297793953179e+00,9.246990623202444581e-03,9.246414537173675008e-03,9.246047955660308126e-03,1.090159572418142307e+04,1.090159564518478874e+04,4.826391028121342908e-01,subcritical,9.444459736157404667e-03,9.789917278446863547e-01,3.964737313983593951e-05,7.246336857483770853e-09,9.288707238314894767e-08,5.652144041960127652e-03,5.619473866318003275e-03,1,1,1
