dataset,shard_index,shard_count,d,lambda_ratio,lambda_star,lambda,log2N,N,alpha,delta_128,delta_256,delta_512,objective_256,objective_512,beta_512,scale_type,theory_scale,collapse_ratio,location_rel_change,value_rel_change,derivative_scaled,neighbor_left,neighbor_right,first_order_ok,neighbor_ok,accepted,log_normalized_distance,stationary_scale,correction_balance
phase_regimes,3,4,2,1.025,0.41527872955648903,0.4256606977954013,16.0,65536,1.0383811611131724,0.009886877973069199,0.009887493962352887,0.009887885975515489,43150.35460873914,43150.35438334216,0.4162576361313323,supercritical,0.0041403867866558475,2.3881551374338734,3.964580129347736e-05,5.2235254056095016e-09,1.8737755493110477e-08,0.008099869832221884,0.008149908586347012,1,1,1,0.870521158844764,0.0041403867866557165,0.4842535131791782
phase_regimes,2,4,2,1.025,0.41527872955648903,0.4256606977954013,22.0,4194304,1.0279135717186707,0.0014135799838183027,0.0014139530974115466,0.0014138970401079696,2770511.501274036,2770511.496772618,0.43027760080229294,supercritical,0.0005444913786213655,2.5967298943977974,3.964737317262357e-05,1.624760704227276e-09,2.1594626935492758e-09,0.05406945943832397,0.05481635266914964,1,1,1,0.9542529204936329,0.0005444913786213331,0.47856406915461447
phase_regimes,1,4,2,1.025,0.41527872955648903,0.4256606977954013,28.0,268435456,1.02193209206467,0.00019533704685503747,0.0001952461332764832,0.0001952133452933769,177658815.29491505,177658814.76615915,0.4400950248886411,supercritical,7.16036747089484e-05,2.726303448627069,0.0001679597419791007,2.976243391793778e-09,1.0085149021772783e-09,0.3798754215240479,0.3905057609081268,1,1,1,1.0029466435233911,7.16036747089484e-05,0.47531501918957614
phase_regimes,3,4,2,1.025,0.41527872955648903,0.4256606977954013,32.0,4294967296,1.019190580556586,5.1683060734775126e-05,5.165900645487386e-05,5.161564513922468e-05,2845114260.9274044,2845114244.915355,0.44505725154421216,supercritical,1.851668504571488e-05,2.787520823073541,0.0008400808617664857,5.6279108042028754e-09,5.286059776546513e-10,1.4682679176330566,1.4149250984191895,1,1,1,1.0251526069192471,1.8516685045712536e-05,0.4738263717098529
phase_regimes,3,4,2,1.05,0.41527872955648903,0.4360426660343136,16.0,65536,1.0393172869939815,0.010286666421501332,0.010287307319092887,0.010286899470551059,43135.20844575688,43135.20822168575,0.4126904986523312,supercritical,0.004709558975914419,2.1842596139384223,3.9647373146353086e-05,5.1946225553505615e-09,2.4155438564372144e-08,0.008099554070213344,0.008145642997988034,1,1,1,0.7812769216690048,0.004709558975914275,0.44941105979191465
phase_regimes,2,4,2,1.05,0.41527872955648903,0.4360426660343136,22.0,4194304,1.0285943905410775,0.0014955526647454365,0.0014951580186786106,0.0014952172977664713,2769871.8342687488,2769871.829567747,0.426610414555419,supercritical,0.0006499925273333183,2.300360750147084,3.964580128198148e-05,1.6971911787064954e-09,2.4012926974668207e-09,0.053653464652597904,0.054468574933707714,1,1,1,0.8330659585257962,0.0006499925273333183,0.4437212609978811
phase_regimes,1,4,2,1.05,0.41527872955648903,0.4360426660343136,28.0,268435456,1.022467021139418,0.00020995174989846263,0.0002097594493031263,0.0002097242240765018,177627223.17020234,177627222.67184523,0.4364006739580462,supercritical,8.970787217971446e-05,2.33785752555088,0.00016795974227383387,2.8056347989898957e-09,2.1693973630652238e-10,0.37748277187347407,0.3829107582569122,1,1,1,0.8492349225920522,8.970787217971446e-05,0.44047205880698953
phase_regimes,3,4,2,1.05,0.41527872955648903,0.4360426660343136,32.0,4294967296,1.0196586434969908,5.61564321596153e-05,5.610499693542437e-05,5.605345893033853e-05,2844672619.2404995,2844672603.5897512,0.4413386585393264,supercritical,2.3957621753454207e-05,2.339692124167405,0.0009194437964994824,5.501774873185282e-09,3.7468292714195534e-10,1.4337763786315916,1.400822639465332,1,1,1,0.8500193498447738,2.395762175345421e-05,0.43898335380679626
phase_regimes,3,4,2,1.075,0.41527872955648903,0.44642463427322576,16.0,65536,1.0402534128747907,0.010711999521882952,0.0107148269477646,0.010714402149864632,43120.013062378144,43120.012839782044,0.40901905237995745,supercritical,0.00532497631230657,2.012103251070346,3.964737313621886e-05,5.1622456746917796e-09,5.715894081883632e-09,0.008095714212686289,0.008179448646842502,1,1,1,0.699180568550185,0.00532497631230657,0.416189220689862
phase_regimes,2,4,2,1.075,0.41527872955648903,0.44642463427322576,22.0,4194304,1.0292752093634843,0.001585901362959552,0.0015858025615597127,0.0015858654344655942,2769231.6321743727,2769231.627248515,0.422750632977964,supercritical,0.0007695699970041866,2.060716296943898,3.964580128626772e-05,1.7787815872567574e-09,1.8932617922636964e-09,0.05346635682508349,0.054271503817290075,1,1,1,0.723053639325014,0.0007695699970041867,0.41049906708174394
