N,family,case,case_index,r,alpha,H,delta_finite,delta_stationary_scale,finite_column,stationary_column
1024,scaled_r,1.5,22,1.5,1.0898680845576725,0.26659205547206577,0.11220939608364854,0.09184243874965876,44,45
1024,scaled_r,1.55,23,1.55,1.0928636873762614,0.2673291916698509,0.11796057742498382,0.09894830034605684,46,47
1024,scaled_r,1.6,24,1.6,1.0958592901948505,0.2680664550623911,0.12386396403042972,0.10610851039857547,48,49
1024,scaled_r,1.75,25,1.75,1.1048460986506177,0.27027901632300344,0.1422911498389799,0.1277531405860932,50,51
1024,scaled_r,2,26,2.0,1.119824112743563,0.2739692361364638,0.174327468291486,0.1636299617826748,52,53
1024,scaled_r,2.25,27,2.25,1.1348021268365085,0.27766281361296263,0.20653970582463538,0.19836396148936322,54,55
1024,scaled_r,2.5,28,2.5,1.149780140929454,0.28135984725216273,0.23786021339527413,0.23138691614287415,56,57
1024,scaled_r,2.75,29,2.75,1.1647581550223993,0.2850604353616112,0.26773542233252157,0.2624532557381982,58,59
1024,scaled_r,3,30,3.0,1.1797361691153447,0.28876467606539113,0.2959222282833129,0.2915029671159804,60,61
1024,fixed_alpha,1.01,31,0.16691131310775678,1.01,0.24698280240676612,0.034061128956368085,8.89030870783047e-10,62,63
1024,fixed_alpha,1.03,32,0.5007339393232703,1.03,0.2518856047263533,0.042721375427395826,0.000913411442080404,64,65
1024,fixed_alpha,1.05,33,0.8345565655387839,1.05,0.2567933324266264,0.05659136533091899,0.014554447210140093,66,67
1024,fixed_alpha,1.075,34,1.251834848308174,1.075,0.262935280264487,0.08654705549169278,0.05809528966685378,68,69
1024,fixed_alpha,1.1,35,1.6691131310775678,1.1,0.2690857575821216,0.13223790311618253,0.11606393119265018,70,71
1024,fixed_alpha,1.2,36,3.3382262621551315,1.2,0.2937821497998332,0.3312651312898502,0.32768,72,73
4096,scaled_r,0,0,0.0,1.0,0.24453317379349931,0.015453217384503273,0.0,0,1
4096,scaled_r,0.1,1,0.1,1.0049926713643151,0.24575604825465558,0.016364030673384846,8.031313441275283e-19,2,3
4096,scaled_r,0.2,2,0.2,1.0099853427286303,0.2469792110694463,0.01739474881260936,8.62342966615112e-10,4,5
4096,scaled_r,0.3,3,0.3,1.0149780140929454,0.2482026659548653,0.01857106860847246,8.830261376304842e-07,6,7
4096,scaled_r,0.4,4,0.4,1.0199706854572606,0.24942641662459625,0.01992589575479687,2.8256418270205118e-05,8,9
4096,scaled_r,0.5,5,0.5,1.0249633568215757,0.25065046678905045,0.02150159645359355,0.0002260479994236511,10,11
4096,scaled_r,0.6,6,0.6,1.0299560281858908,0.25187482015540885,0.023352811850954135,0.0009041786040721102,12,13
4096,scaled_r,0.7,7,0.7,1.034948699550206,0.2530994804276602,0.025549697669700756,0.0024338322438602557,14,15
4096,scaled_r,0.8,8,0.8,1.039941370914521,0.25432445130663806,0.028181016359987213,0.005114654933874076,16,17
4096,scaled_r,0.85,9,0.85,1.0424377065966786,0.25493705437930647,0.02969285948162911,0.006944171990831355,18,19
4096,scaled_r,0.9,10,0.9,1.0449340422788362,0.25554973649006174,0.03135565596268909,0.009113143847335456,20,21
4096,scaled_r,0.95,11,0.95,1.0474303779609937,0.25616249810063524,0.033185722513461066,0.011622232592169015,22,23
4096,scaled_r,0.975,12,0.975,1.0486785458020726,0.25646890886259427,0.034168733971929745,0.013002825903375627,24,25
4096,scaled_r,1,13,1.0,1.0499267136431514,0.25677533967257327,0.03519988188055764,0.014465999404218511,26,27
