N,family,case,case_index,r,alpha,H,delta_finite,delta_stationary_scale,finite_column,stationary_column,trajectories,mean_finite,mean_stationary_scale,mean_difference,variance_difference,variance_stationary_scale,covariance_difference_stationary_scale,saving_estimate_pct,saving_standard_error_pct,saving_lower95_pct,saving_upper95_pct,saved_cost_per_input,N_delta_finite,N_delta_stationary_scale
256,scaled_r,0,0,0.0,1.0,0.24453317379349931,0.06181286953801309,0.0,0,1,32768,174.69095281691617,232.0215704133315,-57.33061759641533,1147.543802128102,1233.5866725823817,-1182.1661062997534,24.709175743567517,0.06016986241904621,24.591242813226188,24.827108673908846,0.22394772498599738,15.824094601731352,0.0
256,scaled_r,0.1,1,0.1,1.0074890070464726,0.24636759338545672,0.06543145923423115,8.421380285913666e-13,2,3,32768,173.99647072475508,232.0589089032587,-58.062438178503605,1169.3911165245343,1252.1947746202875,-1202.4152652756861,25.02055984530584,0.06050899462226585,24.9019622158462,25.13915747476548,0.2268063991347797,16.750453563963173,2.1558733531938986e-10
256,scaled_r,0.2,2,0.2,1.0149780140929454,0.2482026659548653,0.06945019197079444,8.830261376304842e-07,4,5,32768,173.2985936089087,232.08537856573602,-58.786784956827326,1190.9744353929764,1270.4470249483677,-1222.3506540844676,25.32980979677551,0.06083679223022098,25.210569684004277,25.449049909546744,0.22963587873760674,17.779249144523376,0.00022605469123340396
256,scaled_r,0.3,3,0.3,1.022467021139418,0.2500384040382092,0.07392918896083317,8.970787217971446e-05,6,7,32768,172.59675296126045,230.7937475725957,-58.19699461133524,1163.0298315495768,1237.719541800167,-1192.0280647969628,25.21601872816312,0.06058050625177604,25.09728093590964,25.3347565204166,0.2273320102005283,18.92587237397329,0.022965215278006903
256,scaled_r,0.4,4,0.4,1.0299560281858908,0.25187482015540885,0.07893629708904518,0.0009041786040721102,8,9,32768,171.89039401749199,220.0463398792291,-48.1559458617371,810.1112801452548,870.8674787287582,-832.1515268697864,21.88445665043425,0.05543588099514439,21.775802323683767,21.99311097718473,0.18810916352241056,20.207692054795565,0.2314697226424602
256,scaled_r,0.5,5,0.5,1.0374450352323634,0.2537119268101278,0.08454617018814417,0.003616634004474932,10,11,32768,171.17896529181405,198.11878817604054,-26.9398228842265,268.3796545706707,307.0105735925521,-279.36078325052046,13.597813277703294,0.03924391201352374,13.520895210156787,13.6747313452498,0.10523368314150977,21.643819568164908,0.9258583051455825
256,scaled_r,0.6,6,0.6,1.0449340422788362,0.25554973649006174,0.09083787766805368,0.009113143847335456,12,13,32768,170.4619689940801,182.0067447496154,-11.54477575553527,55.76666670274728,80.5983754388316,-59.84598301293329,6.343048314729921,0.021137478410499594,6.301618857045342,6.3844777724145,0.045096780295059646,23.254496683021742,2.3329648249178767
256,scaled_r,0.7,7,0.7,1.0524230493253088,0.2573882616672324,0.097890442494073,0.017634119869638545,14,15,32768,169.7390237731059,174.90991361541523,-5.170889842309318,14.069196427519524,33.71835550033239,-15.548713171164684,2.9563160460297633,0.011465875737222015,2.933842929584808,2.9787891624747185,0.020198788446520774,25.059953278482688,4.514334686627468
256,scaled_r,0.8,8,0.8,1.0599120563717817,0.2592275147982836,0.10577588718584398,0.028931139262048385,16,17,32768,169.0098909908263,171.5679068202301,-2.5580158294037934,4.835928367360116,22.53525290525611,-5.3251309998576115,1.4909640601281555,0.006967251221007297,1.4773082477349813,1.5046198725213298,0.009992249333608568,27.07862711957606,7.406371651084386
256,scaled_r,0.85,9,0.85,1.0636565598950178,0.26014741823508214,0.11004927743012224,0.03547308241307055,18,19,32768,168.64297512328383,170.4812394227342,-1.8382642994503646,3.095903039479459,20.31312520278188,-3.3336432112478773,1.0782795254626865,0.005637150808053805,1.067230709878901,1.089328341046472,0.007180719919727987,28.172615022111295,9.081109097746062
256,scaled_r,0.9,10,0.9,1.0674010634182542,0.2610675083247692,0.11454993666016457,0.04252014496721873,20,21,32768,168.27451012534837,169.60339840271385,-1.328888277365476,2.0755765705889933,18.98544912955172,-2.1473553406655506,0.7835269162532372,0.004655694056893733,0.7744017559017256,0.7926520766047489,0.005190969833458891,29.32478378500213,10.885157111607995
256,scaled_r,0.95,11,0.95,1.0711455669414907,0.2619877866202304,0.1192805565476132,0.05000417473370992,22,23,32768,167.904527844426,168.8646567575435,-0.9601289131174764,1.4462904735709463,18.163855116132304,-1.407740464267135,0.568578962320122,0.003913238124866042,0.5609090155953845,0.5762489090448594,0.003750503566865142,30.53582247618898,12.801068731829739
256,scaled_r,0.975,12,0.975,1.0730178187031088,0.26244799683015346,0.12173232333909673,0.05388944428707976,24,25,32768,167.71898588579703,168.53304462348177,-0.8140587376847346,1.2224271575678678,17.874794195909274,-1.1434652829541787,0.48302618605355185,0.003608319895977477,0.475953879057436,0.4900984930496677,0.0031799169440809944,31.163474774808762,13.795697737492418
256,scaled_r,1,13,1.0,1.074890070464727,0.26290825467344187,0.12424153915153525,0.05785969666311366,26,27,32768,167.53308910453444,168.2211239355898,-0.6880348310553502,1.0408411372837445,17.64403766792095,-0.9289990472245333,0.4090062026447951,0.0033385471205214057,0.40246265028857314,0.41554975500101704,0.002687636058809962,31.805834022793025,14.812082345757098
256,scaled_r,1.025,14,1.025,1.0767623222263452,0.2633685603439504,0.12680786065553307,0.06190739191103254,28,29,32768,167.34684956149363,167.9257454034832,-0.5788958419895689,0.8922246582879534,17.459575320313046,-0.7536819363562278,0.3447332275337699,0.0030986838450642296,0.338659807197444,0.3508066478700958,0.0022613118827717535,32.462812327816465,15.84829232922433
256,scaled_r,1.05,15,1.05,1.0786345739879633,0.2638289140354807,0.12943077888486337,0.06602529492941954,30,31,32768,167.16027647876913,167.64430351614675,-0.4840270373776186,0.7695685813496811,17.312392685981052,-0.6095009738009795,0.28872262714909325,0.0028843995880283085,0.28306920395655777,0.2943760503416287,0.0018907306147563226,33.134279394525024,16.902475501931402
256,scaled_r,1.1,16,1.1,1.0823790775111997,0.26474976625653823,0.13484353340218763,0.07444437784208927,32,33,32768,166.78617055843893,167.11503884250055,-0.3288682840616417,0.5821287472909339,17.102568004826363,-0.39091350003025793,0.19679155528999834,0.0025189474704229243,0.1918544182479694,0.20172869233202728,0.001284641734615788,34.519944550960034,19.057760727574852
256,scaled_r,1.15,17,1.15,1.086123581034436,0.26567081288592076,0.14047240049501633,0.08306550825555747,34,35,32768,166.4108741452547,166.62029991668584,-0.20942577143115468,0.4489206705714589,16.974329008456575,-0.23836326466101412,0.12569042999914934,0.0022200097310668297,0.12133921092625835,0.13004164907204033,0.000818069419652948,35.96093452672418,21.264770113422713
256,scaled_r,1.2,18,1.2,1.0898680845576725,0.26659205547206577,0.1463074090912741,0.09184243874965876,36,37,32768,166.03450290436214,166.15095302103174,-0.11645011666960024,0.3519400924385323,16.902378525708283,-0.13025493286818168,0.07008693874591243,0.001971964125317473,0.06622188906029018,0.07395198843153468,0.00045488326824062595,37.45469672736617,23.511664319912644
256,scaled_r,1.3,19,1.3,1.097357091604145,0.2684351347040889,0.15854443509583477,0.10970359759013118,38,39,32768,165.2790760242744,165.2643982165551,0.014677807719301097,0.22531565783455984,16.866960291917945,0.0032462898185139813,-0.00888140935234457,0.0015866859826479077,-0.01199131387833447,-0.005771504826354671,-5.733518640351991e-05,40.5873753845337,28.084120983073582
256,scaled_r,1.4,20,1.4,1.1048460986506177,0.27027901632300344,0.1714334279584003,0.1277531405860932,40,41,32768,164.52104992993316,164.42236911580164,0.09868081413150961,0.1507247844868148,16.918700129079635,0.07343153804674746,-0.06001665993634317,0.0013040319399562166,-0.06257256253865735,-0.057460757334028986,-0.00038547193020120943,43.88695755735048,32.704803990039856
256,scaled_r,1.45,21,1.45,1.108590602173854,0.27120126188962834,0.17807866865152733,0.13678070835419995,42,43,32768,164.14145000037178,164.0122683569848,0.1291816433869696,0.12498477328508252,16.964675244458466,0.09476928229250824,-0.07876340268997209,0.001190107061240955,-0.08109601253000435,-0.07643079284993982,-0.00050461579448035,45.588139174790996,35.01586133867519
256,scaled_r,1.5,22,1.5,1.1123351056970905,0.2721237126858257,0.18483310712640644,0.1457809920546696,44,45,32768,163.7616741078413,163.60751317970045,0.1541609281408442,0.10448458087538509,17.01991417548752,0.11012502021023557,-0.09422606892846022,0.0010904295657883259,-0.09636331087740534,-0.0920888269795151,-0.0006021911255501727,47.31727542436005,37.31993396599542
