d,alpha,delta,gamma,objective_minus_endpoint,series_order
2,1.350000000000000000e+01,3.214285714285713969e-02,9.678571428571428603e-01,-4.573244366729845023e-03,24
2,1.350000000000000000e+01,3.228571428571428564e-02,9.677142857142857491e-01,-4.605457999101697508e-03,24
2,1.350000000000000000e+01,3.242857142857143160e-02,9.675714285714285268e-01,-4.637769550780906913e-03,24
2,1.350000000000000000e+01,3.257142857142857756e-02,9.674285714285714155e-01,-4.670178914545797255e-03,24
2,1.350000000000000000e+01,3.271428571428571658e-02,9.672857142857143042e-01,-4.702685983004675774e-03,24
2,1.350000000000000000e+01,3.285714285714286254e-02,9.671428571428570820e-01,-4.735290648595943952e-03,24
2,1.350000000000000000e+01,3.300000000000000155e-02,9.669999999999999707e-01,-4.767992803588499973e-03,24
2,1.350000000000000000e+01,3.314285714285714057e-02,9.668571428571428594e-01,-4.800792340082543630e-03,24
2,1.350000000000000000e+01,3.328571428571428653e-02,9.667142857142857482e-01,-4.833689150009937152e-03,24
2,1.350000000000000000e+01,3.342857142857142555e-02,9.665714285714285259e-01,-4.866683125134357857e-03,24
2,1.350000000000000000e+01,3.357142857142857151e-02,9.664285714285714146e-01,-4.899774157052394497e-03,24
2,1.350000000000000000e+01,3.371428571428571053e-02,9.662857142857143034e-01,-4.932962137193422358e-03,24
2,1.350000000000000000e+01,3.385714285714285648e-02,9.661428571428571921e-01,-4.966246956820505321e-03,24
2,1.350000000000000000e+01,3.399999999999999550e-02,9.659999999999999698e-01,-4.999628507030659530e-03,24
2,1.350000000000000000e+01,3.414285714285714146e-02,9.658571428571428585e-01,-5.033106678755588925e-03,24
2,1.350000000000000000e+01,3.428571428571428742e-02,9.657142857142857473e-01,-5.066681362761851770e-03,24
2,1.350000000000000000e+01,3.442857142857143338e-02,9.655714285714285250e-01,-5.100352449651388009e-03,24
2,1.350000000000000000e+01,3.457142857142857240e-02,9.654285714285714137e-01,-5.134119829862171525e-03,24
2,1.350000000000000000e+01,3.471428571428571835e-02,9.652857142857143025e-01,-5.167983393668765246e-03,24
2,1.350000000000000000e+01,3.485714285714285737e-02,9.651428571428571912e-01,-5.201943031182640342e-03,24
2,1.350000000000000000e+01,3.500000000000000333e-02,9.649999999999999689e-01,-5.235998632352398263e-03,24
2,1.350000000000000000e+01,3.514285714285714235e-02,9.648571428571428577e-01,-5.270150086964853209e-03,24
2,1.350000000000000000e+01,3.528571428571428831e-02,9.647142857142857464e-01,-5.304397284645073762e-03,24
2,1.350000000000000000e+01,3.542857142857142733e-02,9.645714285714285241e-01,-5.338740114856910246e-03,24
2,1.350000000000000000e+01,3.557142857142857328e-02,9.644285714285714128e-01,-5.373178466903771877e-03,24
2,1.350000000000000000e+01,3.571428571428571230e-02,9.642857142857143016e-01,-5.407712229928765546e-03,24
2,1.350000000000000000e+01,3.585714285714285826e-02,9.641428571428571903e-01,-5.442341292915375828e-03,24
2,1.350000000000000000e+01,3.599999999999999728e-02,9.639999999999999680e-01,-5.477065544687811927e-03,24
2,1.350000000000000000e+01,3.614285714285714324e-02,9.638571428571428568e-01,-5.511884873911507277e-03,24
2,1.350000000000000000e+01,3.628571428571428920e-02,9.637142857142857455e-01,-5.546799169093952209e-03,24
2,1.350000000000000000e+01,3.642857142857143515e-02,9.635714285714285232e-01,-5.581808318584804973e-03,24
2,1.350000000000000000e+01,3.657142857142857417e-02,9.634285714285714119e-01,-5.616912210576197051e-03,24
2,1.350000000000000000e+01,3.671428571428571319e-02,9.632857142857143007e-01,-5.652110733103829499e-03,24
2,1.350000000000000000e+01,3.685714285714285915e-02,9.631428571428571894e-01,-5.687403774046917437e-03,24
2,1.350000000000000000e+01,3.699999999999999817e-02,9.629999999999999671e-01,-5.722791221129092110e-03,24
2,1.350000000000000000e+01,3.714285714285714413e-02,9.628571428571428559e-01,-5.758272961918359245e-03,24
2,1.350000000000000000e+01,3.728571428571428314e-02,9.627142857142857446e-01,-5.793848883828139895e-03,24
