dataset,shard_index,shard_count,d,lambda_ratio,lambda_star,lambda,log2N,N,alpha,radial_order,angular_order,state_bins,gamma,delta,beta,objective,derivative_logdelta,derivative_scaled,neighbor_left,neighbor_right,H_constant,scale_type,theory_scale,collapse_ratio,row_error,steps,evaluations,cgal_version
phase_regimes,3,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,1.600000000000000000e+01,65536,1.000000000000000000e+00,128,32,33,9.961435383733612259e-01,3.856461626638774121e-03,5.011566580687625283e-01,4.375401353462025145e+04,2.383440005360171199e-03,5.447363139553541531e-08,1.265796121151652187e-02,1.275421078025829047e-02,2.445374419422549350e-01,subcritical,3.863338061562931851e-03,9.982200794197710891e-01,1.199040866595169064e-14,65536,30,6.1.1-I-900
phase_regimes,3,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,1.600000000000000000e+01,65536,1.000000000000000000e+00,256,64,65,9.961437786303003472e-01,3.856221369699652790e-03,5.011622757230678182e-01,4.375401212136222603e+04,-1.777521902113221586e-03,4.062534647526354868e-08,1.274068823113339022e-02,1.267049429588951170e-02,2.445337089232247907e-01,subcritical,3.863308573298416312e-03,9.981655093129895295e-01,1.887379141862766119e-14,65536,30,6.1.1-I-900
phase_regimes,3,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,1.600000000000000000e+01,65536,1.000000000000000000e+00,512,128,129,9.961436257412528139e-01,3.856374258747186090e-03,5.011587008521466435e-01,4.375401190249407227e+04,7.549733709311112761e-04,1.725495190277799762e-08,1.269002046319656074e-02,1.272113609593361616e-02,2.445332417712827722e-01,subcritical,3.863304883105819505e-03,9.982060374295228522e-01,1.854072451124011423e-14,65536,30,6.1.1-I-900
phase_regimes,3,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,2.400000000000000000e+01,16777216,1.000000000000000000e+00,128,32,33,9.997586007635242966e-01,2.413992364757033826e-04,5.006788027735538105e-01,1.118582396600430459e+07,-2.865693531930446625e-01,2.561897577362021587e-08,2.083223313093185425e-01,1.968495305627584457e-01,2.445374419422549350e-01,subcritical,2.414586288476832407e-04,9.997540267156187488e-01,7.882583474838611437e-15,16777216,30,6.1.1-I-900
phase_regimes,3,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,2.400000000000000000e+01,16777216,1.000000000000000000e+00,256,64,65,9.997585857234536633e-01,2.414142765463367368e-04,5.006750576706761047e-01,1.118582349087556452e+07,-9.231967851519584656e-02,8.253275102231170344e-09,2.044469695538282394e-01,2.007602620869874954e-01,2.445337089232247907e-01,subcritical,2.414567858311510195e-04,9.998239466136022990e-01,6.328271240363392280e-15,16777216,30,6.1.1-I-900
phase_regimes,3,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,2.400000000000000000e+01,16777216,1.000000000000000000e+00,512,128,129,9.997585761520118020e-01,2.414238479881980481e-04,5.006726744234054616e-01,1.118582345884917863e+07,-2.235360443592071533e-02,1.998387022480372746e-09,2.030460964888334274e-01,2.021572217345237732e-01,2.445332417712827722e-01,subcritical,2.414565551941137190e-04,9.998645420668352823e-01,1.312283615106935031e-13,16777216,30,6.1.1-I-900
phase_regimes,3,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,3.200000000000000000e+01,4294967296,1.000000000000000000e+00,128,32,33,9.999849036961838689e-01,1.509630381613114025e-05,5.004826597364888663e-01,2.863327904102948666e+09,1.815915107727050781e+00,6.341973984624573986e-10,3.200211524963378906e+00,3.288513183593750000e+00,2.445374419422549350e-01,subcritical,1.509116430298020254e-05,1.000340564389052611e+00,1.110223024625156540e-14,4294967296,30,6.1.1-I-900
phase_regimes,3,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,3.200000000000000000e+01,4294967296,1.000000000000000000e+00,256,64,65,9.999849076797927561e-01,1.509232020724393664e-05,5.004945581191696524e-01,2.863327757619632721e+09,-3.051757812500000000e-02,1.065808063494978533e-11,3.250288486480712891e+00,3.230079174041748047e+00,2.445337089232247907e-01,subcritical,1.509104911444693872e-05,1.000084228259238817e+00,7.882583474838611437e-15,4294967296,30,6.1.1-I-900
phase_regimes,3,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,3.200000000000000000e+01,4294967296,1.000000000000000000e+00,512,128,129,9.999849070814219587e-01,1.509291857804129222e-05,5.004927706838684376e-01,2.863327736704712391e+09,6.425380706787109375e-02,2.244025587577976191e-11,3.216163635253906250e+00,3.266469478607177734e+00,2.445332417712827722e-01,subcritical,1.509103469963210744e-05,1.000124834277216879e+00,2.065014825802791165e-14,4294967296,30,6.1.1-I-900
phase_regimes,3,4,2,1.000000000000000056e-01,4.152787295564890901e-01,4.152787295564891457e-02,1.600000000000000000e+01,65536,1.003744503523236409e+00,128,32,33,9.959163995399864522e-01,4.083600460013547817e-03,4.959964103129497204e-01,4.369558526522065949e+04,4.723233359982259572e-03,1.080940633089929127e-07,1.208285764732863754e-02,1.227627453044988215e-02,2.454545102200292594e-01,subcritical,4.101878274206311077e-03,9.955440378843762872e-01,4.329869796038110508e-15,65536,30,6.1.1-I-900
