dataset,shard_index,shard_count,d,lambda_ratio,lambda_star,lambda,log2N,N,alpha,radial_order,angular_order,state_bins,gamma,delta,beta,objective,derivative_logdelta,derivative_scaled,neighbor_left,neighbor_right,H_constant,scale_type,theory_scale,collapse_ratio,row_error,steps,evaluations,cgal_version
phase_regimes,2,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,1.400000000000000000e+01,16384,1.000000000000000000e+00,128,32,33,9.923017018840215586e-01,7.698298115978441380e-03,5.015174817272545216e-01,1.095436443828402480e+04,-1.939143658091779798e-03,1.770201885300378018e-07,6.414202825908432715e-03,6.337543656627531163e-03,2.445374419422549350e-01,subcritical,7.726676123125863702e-03,9.963272684534444368e-01,6.883382752675970551e-15,16384,30,6.1.1-I-900
phase_regimes,2,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,1.400000000000000000e+01,16384,1.000000000000000000e+00,256,64,65,9.923012222514059344e-01,7.698777748594065606e-03,5.015110615509048575e-01,1.095436365599743112e+04,-5.832089300383813679e-05,5.323987301800765890e-09,6.376463590640923940e-03,6.375045428285375237e-03,2.445337089232247907e-01,subcritical,7.726617146596832623e-03,9.963969486937722664e-01,1.021405182655144017e-14,16384,30,6.1.1-I-900
phase_regimes,2,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,1.400000000000000000e+01,16384,1.000000000000000000e+00,512,128,129,9.923009170150918212e-01,7.699082984908178773e-03,5.015069759841372932e-01,1.095436357054891960e+04,1.245975909114349633e-03,1.137424279457171833e-07,6.350376772388699464e-03,6.401133854524232447e-03,2.445332417712827722e-01,subcritical,7.726609766211639009e-03,9.964374050021479468e-01,1.820765760385256726e-14,16384,30,6.1.1-I-900
phase_regimes,2,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,2.200000000000000000e+01,4194304,1.000000000000000000e+00,128,32,33,9.995172015270484822e-01,4.827984729515177875e-04,5.007405121165889872e-01,2.796709185940357391e+06,-6.356008816510438919e-02,2.272674201687978782e-08,1.025932896882295609e-01,1.000504731200635433e-01,2.445374419422549350e-01,subcritical,4.829172576953664814e-04,9.997540267158486760e-01,8.881784197001252323e-15,4194304,30,6.1.1-I-900
phase_regimes,2,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,2.200000000000000000e+01,4194304,1.000000000000000000e+00,256,64,65,9.995171714469073265e-01,4.828285530926734737e-04,5.007364265498284173e-01,2.796709091598292347e+06,2.183986362069845200e-02,7.809129553841861613e-09,1.008880818262696266e-01,1.017620302736759186e-01,2.445337089232247907e-01,subcritical,4.829135716623020390e-04,9.998239466136022990e-01,1.998401444325281773e-14,4194304,30,6.1.1-I-900
phase_regimes,2,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,2.200000000000000000e+01,4194304,1.000000000000000000e+00,512,128,129,9.995171905890322117e-01,4.828094109677882884e-04,5.007390264559550275e-01,2.796709087133171503e+06,6.144051440060138702e-03,2.196886143191330239e-09,1.012004013173282146e-01,1.014466960914433002e-01,2.445332417712827722e-01,subcritical,4.829131103882274381e-04,9.997852627766602440e-01,1.731947918415244203e-14,4194304,30,6.1.1-I-900
phase_regimes,2,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,3.000000000000000000e+01,1073741824,1.000000000000000000e+00,128,32,33,9.999698073923678487e-01,3.019260763215125820e-05,5.005148370524317158e-01,7.158360262535278797e+08,1.174956560134887695e+00,1.641376679914057453e-09,1.595581173896789551e+00,1.644248485565185547e+00,2.445374419422549350e-01,subcritical,3.018232860596040508e-05,1.000340564385374220e+00,9.436895709313830594e-15,1073741824,30,6.1.1-I-900
phase_regimes,2,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,3.000000000000000000e+01,1073741824,1.000000000000000000e+00,256,64,65,9.999698214445819078e-01,3.017855541809222331e-05,5.005372241865955196e-01,7.158359899485480785e+08,-1.708745956420898438e+00,2.387063489981437511e-09,1.654715895652770996e+00,1.585626840591430664e+00,2.445337089232247907e-01,subcritical,3.018209822889387744e-05,9.998826188035442319e-01,5.062616992290713824e-14,1073741824,30,6.1.1-I-900
phase_regimes,2,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,3.000000000000000000e+01,1073741824,1.000000000000000000e+00,512,128,129,9.999698163757995140e-01,3.018362420048603667e-05,5.005291477085908047e-01,7.158359850169605017e+08,2.036690711975097656e-01,2.845191852050916310e-10,1.614581227302551270e+00,1.625667691230773926e+00,2.445332417712827722e-01,subcritical,3.018206939926421488e-05,1.000051514069537628e+00,6.883382752675970551e-14,1073741824,30,6.1.1-I-900
phase_regimes,2,4,2,1.000000000000000056e-01,4.152787295564890901e-01,4.152787295564891457e-02,1.400000000000000000e+01,16384,1.004279432597984467e+00,128,32,33,9.918501116107162341e-01,8.149888389283765910e-03,4.956431416097643594e-01,1.093679717723974500e+04,3.263846792833646759e-03,2.984280260427563626e-07,6.061083504391717725e-03,6.194640733156120405e-03,2.455855332018677117e-01,subcritical,8.205945828292695796e-03,9.931686803469195191e-01,4.440892098500626162e-15,16384,30,6.1.1-I-900
phase_regimes,2,4,2,1.000000000000000056e-01,4.152787295564890901e-01,4.152787295564891457e-02,1.400000000000000000e+01,16384,1.004279432597984467e+00,256,64,65,9.918506193474522226e-01,8.149380652547777437e-03,4.956495617861139680e-01,1.093679638455204804e+04,1.215358224726514891e-03,1.111256150332265531e-07,6.101931274315575138e-03,6.153545618872158229e-03,2.455818589349663961e-01,subcritical,8.205884442453854899e-03,9.931142352415115448e-01,1.076916333886401844e-14,16384,30,6.1.1-I-900
phase_regimes,2,4,2,1.000000000000000056e-01,4.152787295564890901e-01,4.152787295564891457e-02,1.400000000000000000e+01,16384,1.004279432597984467e+00,512,128,129,9.918509424361782179e-01,8.149057563821782146e-03,4.956536473528819209e-01,1.093679630112990162e+04,4.000685294158756733e-05,3.658004761179869426e-09,6.125428863015258685e-03,6.130025920356274582e-03,2.455814007545169264e-01,subcritical,8.205876787618127804e-03,9.930757888197785377e-01,3.941291737419305719e-14,16384,30,6.1.1-I-900
phase_regimes,2,4,2,1.000000000000000056e-01,4.152787295564890901e-01,4.152787295564891457e-02,2.200000000000000000e+01,4194304,1.002723275289626459e+00,128,32,33,9.994885801954109805e-01,5.114198045890194777e-04,4.969638340875371929e-01,2.794142349937392399e+06,-5.884713027626276016e-02,2.106089200415337753e-08,9.784746635705232620e-02,9.551487630233168602e-02,2.452043846408659133e-01,subcritical,5.124734715511065908e-04,9.979439580376756602e-01,9.214851104388799286e-15,4194304,30,6.1.1-I-900
phase_regimes,2,4,2,1.000000000000000056e-01,4.152787295564890901e-01,4.152787295564891457e-02,2.200000000000000000e+01,4194304,1.002723275289626459e+00,256,64,65,9.994885483320543607e-01,5.114516679456393433e-04,4.969597485207746246e-01,2.794142259643621277e+06,2.494151704013347626e-02,8.926359047772549314e-09,9.617467224597930908e-02,9.719346510246396065e-02,2.452006891100353414e-01,subcritical,5.124696097346621631e-04,9.980136543324981124e-01,1.076916333886401844e-14,4194304,30,6.1.1-I-900
phase_regimes,2,4,2,1.000000000000000056e-01,4.152787295564890901e-01,4.152787295564891457e-02,2.200000000000000000e+01,4194304,1.002723275289626459e+00,512,128,129,9.994885686089655108e-01,5.114313910344892022e-04,4.969623484268935742e-01,2.794142255427617114e+06,9.618117474019527435e-03,3.442243305735901268e-09,9.647934185341000557e-02,9.688556194305419922e-02,2.452002276852742746e-01,subcritical,5.124691275454005537e-04,9.979750262891311507e-01,2.398081733190338127e-14,4194304,30,6.1.1-I-900
phase_regimes,2,4,2,1.000000000000000056e-01,4.152787295564890901e-01,4.152787295564891457e-02,3.000000000000000000e+01,1073741824,1.001997068545726011e+00,128,32,33,9.999680175096642420e-01,3.198249033575795153e-05,4.977452731643889905e-01,7.153593396763027906e+08,-1.015067100524902344e-01,1.418961134951024879e-10,1.542427182197570801e+00,1.540576338768005371e+00,2.450265248979255628e-01,subcritical,3.201797348392030761e-05,9.988917740787006672e-01,1.743050148661495768e-14,1073741824,30,6.1.1-I-900
phase_regimes,2,4,2,1.000000000000000056e-01,4.152787295564890901e-01,4.152787295564891457e-02,3.000000000000000000e+01,1073741824,1.001997068545726011e+00,256,64,65,9.999680259491958711e-01,3.197405080412885070e-05,4.977579647726617651e-01,7.153593037991352081e+08,-1.165926456451416016e+00,1.629847337218381905e-09,1.564726352691650391e+00,1.517379760742187500e+00,2.450228194044682672e-01,subcritical,3.201773138188693360e-05,9.986357378904492377e-01,1.199040866595169064e-14,1073741824,30,6.1.1-I-900
phase_regimes,2,4,2,1.000000000000000056e-01,4.152787295564890901e-01,4.152787295564891457e-02,3.000000000000000000e+01,1073741824,1.001997068545726011e+00,512,128,129,9.999680246815086937e-01,3.197531849130630377e-05,4.977560581747549895e-01,7.153592989619615078e+08,-2.858340740203857422e-01,3.995671467962348973e-10,1.546037793159484863e+00,1.537129759788513184e+00,2.450223564592882153e-01,subcritical,3.201770113478289749e-05,9.986762746238969646e-01,1.798561299892753595e-14,1073741824,30,6.1.1-I-900
phase_regimes,2,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,1.400000000000000000e+01,16384,1.008558865195968712e+00,128,32,33,9.913404158606301531e-01,8.659584139369846945e-03,4.893918957733746633e-01,1.091921143648088946e+04,-2.323071385035291314e-03,2.127508381488017901e-07,5.924474206040031277e-03,5.836827996972715482e-03,2.466338369813139419e-01,subcritical,8.769009543602258178e-03,9.875213496246851852e-01,1.154631945610162802e-14,16384,30,6.1.1-I-900
phase_regimes,2,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,1.400000000000000000e+01,16384,1.008558865195968712e+00,256,64,65,9.913398763363185928e-01,8.660123663681407180e-03,4.893854755970246662e-01,1.091921063101233085e+04,-6.634577403019648045e-04,6.076059549741051344e-08,5.891206050364417024e-03,5.869952919965726323e-03,2.466302206058429425e-01,subcritical,8.768945253666102224e-03,9.875901163895168811e-01,9.436895709313830594e-15,16384,30,6.1.1-I-900
phase_regimes,2,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,1.400000000000000000e+01,16384,1.008558865195968712e+00,512,128,129,9.913395329851641957e-01,8.660467014835804278e-03,4.893813900302562137e-01,1.091921054975478546e+04,5.405740921560209244e-04,4.950670102868935849e-08,5.867138046596664935e-03,5.894049316339078359e-03,2.466297712322783886e-01,subcritical,8.768937264916848093e-03,9.876301715015094462e-01,5.329070518200751394e-14,16384,30,6.1.1-I-900
phase_regimes,2,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,2.200000000000000000e+01,4194304,1.005446550579252918e+00,128,32,33,9.994555635394486437e-01,5.444364605513563049e-04,4.928613042334127337e-01,2.791579029166494496e+06,-2.267654053866863251e-03,8.123194902148036530e-10,9.198273858055472374e-02,9.193455753847956657e-02,2.458714130583609658e-01,subcritical,5.472153217878527503e-04,9.949218139078829237e-01,9.325873406851314940e-15,4194304,30,6.1.1-I-900
phase_regimes,2,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,2.200000000000000000e+01,4194304,1.005446550579252918e+00,256,64,65,9.994555974577525870e-01,5.444025422474130238e-04,4.928653898001814637e-01,2.791578943096040748e+06,2.246606163680553436e-02,8.047797355818004043e-09,9.148990828543901443e-02,9.243118157610297203e-02,2.458677546650997747e-01,subcritical,5.472112506836368561e-04,9.948672319278617504e-01,8.770761894538736669e-15,4194304,30,6.1.1-I-900
phase_regimes,2,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,2.200000000000000000e+01,4194304,1.005446550579252918e+00,512,128,129,9.994556190410276431e-01,5.443809589723569431e-04,4.928679897063118487e-01,2.791578939108557068e+06,7.495982572436332703e-03,2.685212467905366224e-09,9.178719948977231979e-02,9.213069546967744827e-02,2.458672989017994803e-01,subcritical,5.472107435026088863e-04,9.948287116730586410e-01,7.727152251391089521e-14,4194304,30,6.1.1-I-900
phase_regimes,2,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,3.000000000000000000e+01,1073741824,1.003994137091452021e+00,128,32,33,9.999659327831209588e-01,3.406721687904123996e-05,4.947085461048709720e-01,7.148832685403501987e+08,1.323074102401733398e+00,1.850755445855081004e-09,1.433862566947937012e+00,1.486612915992736816e+00,2.455156538652161491e-01,subcritical,3.417620542636896230e-05,9.968109816181163207e-01,3.996802888650563546e-15,1073741824,30,6.1.1-I-900
