dataset,shard_index,shard_count,d,lambda_ratio,lambda_star,lambda,log2N,N,alpha,radial_order,angular_order,state_bins,gamma,delta,beta,objective,derivative_logdelta,derivative_scaled,neighbor_left,neighbor_right,H_constant,scale_type,theory_scale,collapse_ratio,row_error,steps,evaluations,cgal_version
phase_regimes,1,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,1.200000000000000000e+01,4096,1.000000000000000000e+00,128,32,33,9.846596142057657541e-01,1.534038579423424586e-02,5.022101186871791301e-01,2.746539617653204459e+03,-2.337507567062857561e-03,8.510736754127557675e-07,3.257182444485806627e-03,3.164596182614332065e-03,2.445374419422549350e-01,subcritical,1.545335224625172740e-02,9.926898416461785724e-01,4.773959005888173124e-15,4096,30,6.1.1-I-900
phase_regimes,1,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,1.200000000000000000e+01,4096,1.000000000000000000e+00,256,64,65,9.846586584426538780e-01,1.534134155734612204e-02,5.022026284814377073e-01,2.746539253922358967e+03,-1.267786387870728504e-03,4.615941265212906293e-07,3.235770675473759184e-03,3.185977830526098842e-03,2.445337089232247907e-01,subcritical,1.545323429319366525e-02,9.927592674954248686e-01,9.769962616701377556e-15,4096,30,6.1.1-I-900
phase_regimes,1,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,1.200000000000000000e+01,4096,1.000000000000000000e+00,512,128,129,9.846580501987606260e-01,1.534194980123937402e-02,5.021978619868749938e-01,2.746539224610424753e+03,-6.080568937250063755e-04,2.213902092773696104e-07,3.222569454919721466e-03,3.199167535512970062e-03,2.445332417712827722e-01,subcritical,1.545321953242327802e-02,9.927995761044847711e-01,4.840572387365682516e-14,4096,30,6.1.1-I-900
phase_regimes,1,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,2.000000000000000000e+01,1048576,1.000000000000000000e+00,128,32,33,9.990344030540970754e-01,9.655969459029245527e-04,5.008145633282562459e-01,6.993039184727575630e+05,3.903754986822605133e-02,5.582343933304703583e-08,4.990536742843687534e-02,5.146804195828735828e-02,2.445374419422549350e-01,subcritical,9.658345153907329627e-04,9.997540267157336569e-01,7.549516567451064475e-15,1048576,30,6.1.1-I-900
phase_regimes,1,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,2.000000000000000000e+01,1048576,1.000000000000000000e+00,256,64,65,9.990346578555800994e-01,9.653421444199006274e-04,5.008336007406709589e-01,6.993039024064835394e+05,-1.235195668414235115e-02,1.766321715299472764e-08,5.093164672143757343e-02,5.043844738975167274e-02,2.445337089232247907e-01,subcritical,9.658271433246040779e-04,9.994978408837900119e-01,2.176037128265306819e-14,1048576,30,6.1.1-I-900
phase_regimes,1,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,2.000000000000000000e+01,1048576,1.000000000000000000e+00,512,128,129,9.990346195822998876e-01,9.653804177001124032e-04,5.008307408439333086e-01,6.993039013161847834e+05,-2.231827238574624062e-03,3.191498337666960698e-09,5.072881910018622875e-02,5.064053391106426716e-02,2.445332417712827722e-01,subcritical,9.658262207764548761e-04,9.995384230964613481e-01,9.481304630298836855e-14,1048576,30,6.1.1-I-900
phase_regimes,1,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,2.800000000000000000e+01,268435456,1.000000000000000000e+00,128,32,33,9.999396147847355865e-01,6.038521526441353870e-05,5.005516111275106761e-01,1.789610317093509138e+08,6.897151470184326172e-01,3.853996260697653657e-09,7.962712645530700684e-01,8.240430057048797607e-01,2.445374419422549350e-01,subcritical,6.036465721192081017e-05,1.000340564387213416e+00,2.886579864025407005e-15,268435456,30,6.1.1-I-900
phase_regimes,1,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,2.800000000000000000e+01,268435456,1.000000000000000000e+00,256,64,65,9.999396307191712463e-01,6.036928082875370194e-05,5.005652092792405305e-01,1.789610228134194911e+08,1.042783260345458984e-01,5.826873606062478127e-10,8.082108795642852783e-01,8.122563362121582031e-01,2.445337089232247907e-01,subcritical,6.036419645778775487e-05,1.000084228255560426e+00,1.332267629550187849e-14,268435456,30,6.1.1-I-900
phase_regimes,1,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,2.800000000000000000e+01,268435456,1.000000000000000000e+00,512,128,129,9.999396331125597337e-01,6.036688744026630360e-05,5.005672520626036626e-01,1.789610217329828739e+08,2.462565898895263672e-01,1.376034778438800040e-09,8.053594529628753662e-01,8.151636123657226562e-01,2.445332417712827722e-01,subcritical,6.036413879852842976e-05,1.000045534348581455e+00,5.373479439185757656e-14,268435456,30,6.1.1-I-900
phase_regimes,1,4,2,1.000000000000000056e-01,4.152787295564890901e-01,4.152787295564891457e-02,1.200000000000000000e+01,4096,1.004992671364315138e+00,128,32,33,9.837715004014380149e-01,1.622849959856198510e-02,4.954438806411559093e-01,2.740980896180935815e+03,-8.034061238504364155e-04,2.931089833460125079e-07,3.112792311640077969e-03,3.082834428823844064e-03,2.457602356772345953e-01,subcritical,1.641772809232985852e-02,9.884741364515423623e-01,3.663735981263016583e-15,4096,30,6.1.1-I-900
