N,r,alpha,H,delta_finite,delta_stationary_scale,trajectories,seed,mean_finite,mean_stationary_scale,saving_estimate_pct,saving_standard_error_pct,saving_lower95_pct,saving_upper95_pct,delta_reference,stored_reference_cost,mean_reference,reference_excess_estimate_pct,reference_excess_standard_error_pct,reference_excess_lower95_pct,reference_excess_upper95_pct
256,0.0,1.0,0.24453317379349931,0.06181286953801309,0.0,32768,2026091202,174.64634534476153,231.52748701835668,24.567770507993856,0.06034752381819164,24.449489361310203,24.686051654677513,,,,,,,
256,0.5,1.0374450352323634,0.2537119268101278,0.08454617018814432,0.003616634004474932,32768,2026091202,171.1361614741005,197.86470619402547,13.508495392662423,0.03925890397095623,13.431547940879348,13.585442844445497,,,,,,,
256,1.0,1.074890070464727,0.26290825467344187,0.12424153915153527,0.05785969666311366,32768,2026091202,167.48989455853058,168.1744082649546,0.40702608291363074,0.003343797502847482,0.4004722398080497,0.4135799260192118,,,,,,,
256,2.0,1.149780140929454,0.28135984725216273,0.25465074604827187,0.23138691614287415,32768,2026091202,159.94167100447004,159.68084313615987,-0.16334324342699436,0.000539708485669788,-0.16440107205890714,-0.16228541479508157,,,,,,,
1024,0.0,1.0,0.24453317379349931,0.030906434769006546,0.0,32768,2026091202,690.6856178045512,928.095484956199,25.580327778757837,0.05991486116190465,25.462894650880507,25.69776090663517,0.030467702840234367,690.6266816349022,690.6851502195166,6.769872415990363e-05,3.0131586022759307e-05,8.640815555295398e-06,0.00012675663276451188
1024,0.5,1.0299560281858908,0.25187482015540885,0.04269774081155149,0.0009041786040721102,32768,2026091202,681.1607447015925,793.3854752712323,14.145044756620207,0.038959296613750964,14.068684535257256,14.221404977983157,0.041392497436936404,681.1063920961407,681.1580853952896,0.00039040956276714667,5.5435858034347166e-05,0.0002817552810198262,0.0004990638445144671
1024,1.0,1.0599120563717817,0.2592275147982836,0.06648301512375025,0.028931139262048385,32768,2026091202,671.195568620943,672.904771793565,0.2540037230032155,0.0015043706176835698,0.25105515659255573,0.25695228941387527,0.06151587565735828,671.1316770431736,671.175473879707,0.0029939623865882226,0.0001244124768423057,0.0027501139319773033,0.0032378108411991414
1024,2.0,1.119824112743563,0.2739692361364638,0.17432746829148502,0.1636299617826748,32768,2026091202,649.1169228908859,648.8391798847506,-0.04280613975633507,0.00013708152145791282,-0.04307481953839258,-0.04253745997427756,0.13479357683975368,648.4756861363275,648.5120699525374,0.09326779968685805,0.0005289964092255655,0.09223096672477595,0.09430463264894016
4096,0.0,1.0,0.24453317379349931,0.015453217384503273,0.0,32768,2026091202,2746.424790130047,3705.1438299278593,25.875352855505184,0.06002911676584989,25.75769578664412,25.993009924366252,0.015341949801239374,2746.5392246104248,2746.4242094715382,2.114234598504794e-05,7.123867400002668e-06,7.179565881042709e-06,3.510512608905317e-05
4096,0.5,1.0249633568215757,0.25065046678905045,0.021501596453593556,0.0002260479994236511,32768,2026091202,2718.4380697437573,3172.106608534593,14.301806174175692,0.03893657555060593,14.225490486096504,14.378121862254877,0.021162076535829022,2718.545645922974,2718.4360642428537,7.377406920916485e-05,1.2538999574675297e-05,4.9197630042801266e-05,9.835050837552843e-05
4096,1.0,1.0499267136431514,0.25677533967257327,0.03519988188055726,0.014465999404218511,32768,2026091202,2689.397684012237,2693.1526769899165,0.13942740824766098,0.0007042600336982763,0.13804705858161237,0.14080775791370959,0.03361111992679411,2689.4863729784715,2689.383770012111,0.0005173675947878209,2.9315986716776448e-05,0.0004599082608229391,0.0005748269287527027
4096,2.0,1.0998534272863028,0.2690496721457989,0.1203836691089573,0.11571076989121792,32768,2026091202,2622.8973491710785,2622.595558156944,-0.011507341007876981,3.4115414950545795e-05,-0.011574207221180051,-0.011440474794573911,0.0973272036104289,2622.131390832591,2622.0502480145014,0.03230682391455186,0.00017508504954051528,0.03196365721745245,0.032649990611651275
